Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad
0.96,-0.021353675543137,0.0568879179405774,-0.0287797449352664,0.0180448071124825
0.97,-0.0202966626012448,0.0549228757591532,-0.0291924581151199,0.0200691288809467
0.98,-0.0192598160377679,0.0529704778318558,-0.0295738928404687,0.0220372805480292
0.99,-0.0182434250467274,0.051032142629867,-0.0299239862595408,0.0239476489427919
1,-0.0172477569048844,0.0491092492651766,-0.0302427266709908,0.0257987502692337
1.01,-0.016273056927699,0.0472031363602096,-0.0305301521456866,0.0275892288196072
1.02,-0.0153195484611309,0.0453151010081099,-0.0307863491055822,0.0293178555130554
1.03,-0.0143874329083163,0.0434463978227759,-0.0310114508637793,0.0309835262685891
1.04,-0.013476889790125,0.0415982380776264,-0.0312056361297707,0.0325852602213118
1.05,-0.0125880768385746,0.0397717889319551,-0.0313691274837527,0.03412219779068
1.06,-0.0117211301220552,0.0379681727436247,-0.0315021898237834,0.0355935986094554
1.07,-0.010876164201294,0.0361884664667461,-0.0316051287894566,0.0369988393218806
1.08,-0.0100532723149737,0.0344337011328931,-0.0316782891656497,0.038337411259465
1.09,-0.00925252659389796,0.0327048614143078,-0.0317220532697932,0.0396089180026291
1.1,-0.00847397830258758,0.0310028852674694,-0.0317368393260032,0.0408130728363055
1.11,-0.00771765810717554,0.029328663655317,-0.0317230998293008,0.0419496961074433
1.12,-0.00698357636846264,0.027683040346345,-0.0316813199030391,0.0430187124922051
1.13,-0.00627172345898728,0.0260668117887168,-0.031612015652543,0.0440201481804855
1.14,-0.00558207010295826,0.0244807270574849,-0.031515732517859,0.0449541279852136
1.15,-0.0049145677378972,0.0229254878729424,-0.031393043628401,0.0458208723837371
1.16,-0.00426914889683615,0.0214017486880809,-0.031244548162171,0.0466206944984104
1.17,-0.00364572760991758,0.0199101168430826,-0.0310708697121204,0.0473539970233368
1.18,-0.00304419982424692,0.0184511527847293,-0.0308726546621148,0.0480212691040382
1.19,-0.00246444384085312,0.0170253703485759,-0.0306505705748523,0.0486230831766443
1.2,-0.00190632076761898,0.0156332371017018,-0.0304053045939815,0.0491600917730143
1.21,-0.00136967498705194,0.0142751747438251,-0.0301375618625597,0.0496330242980178
1.22,-0.000854334637775398,0.0129515595645407,-0.0298480639598851,0.0500426837850196
1.23,-0.000360112108632546,0.0116627229544252,-0.0295375473586343,0.0503899436354227
1.24,0.0001131954556927,0.0104089519677333,-0.0292067619041341,0.0506757443479422
1.25,0.000565805638618789,0.00919048993440312,-0.0288564693174944,0.0509010902430869
1.26,0.000997950226239195,0.00800753711907673,-0.0284874417242292,0.0510670461881433
1.27,0.00140987467357356,0.00686025142484209,-0.0281004602098947,0.0511747343277632
1.28,0.0018018375635283,0.00574874913940072,-0.0276963134041763,0.0512253308250677
1.29,0.00217411005957882,0.00467310572137045,-0.0272757960947593,0.0512200626179917
1.3,0.00252697535316542,0.00363335662443974,-0.0268397078722274,0.0511602041954021
1.31,0.00286072810677419,0.00262949815710064,-0.0263888518071361,0.0510470743973363
1.32,0.00317567389365249,0.00166148837570132,-0.0259240331603234,0.0508820332435184
1.33,0.00347212863508593,0.000729248008576132,-0.0254460581274251,0.0506664787941234
1.34,0.0037504180361406,-0.000167338590969134,-0.0249557326184808,0.0504018440465742
1.35,0.00401087702075027,-0.00102842246501652,-0.0244538610734278,0.0500895938719724
1.36,0.00425384916700371,-0.00185418904691412,-0.0239412453141981,0.0497312219945783
1.37,0.00447968614346212,-0.00264485713482001,-0.0234186834340531,0.0493282480175779
1.38,0.00468874714731108,-0.00340067784502827,-0.0228869687247115,0.04888221449819
1.39,0.00488139834512518,-0.00412193354716135,-0.0223468886417465,0.0483946840749945
1.4,0.00505801231699718,-0.00480893678327821,-0.021799223808656,0.0478672366501828
1.41,0.00521896750475664,-0.00546202917291108,-0.0212447470599356,0.0473014666292601
1.42,0.0053646476649759,-0.00608158030600551,-0.0206842225234125,0.0466989802205592
1.43,0.00549544132743387,-0.00666798662569757,-0.0201184047420293,0.046061392796756
1.44,0.00561174125968079,-0.0072216703028208,-0.0195480378352028,0.0453903263204108
1.45,0.00571394393831919,-0.00774307810399145,-0.0189738546998142,0.0446874068353993
1.46,0.00580244902758878,-0.00823268025507615,-0.0183965762508282,0.0439542620259355
1.47,0.00587765886581514,-0.00869096930179976,-0.0178169107014768,0.0431925188447312
1.48,0.00593997796025432,-0.00911845896920377,-0.0172355528828848,0.0424038012116863
1.49,0.00598981249083767,-0.00951568302161729,-0.0166531836029609,0.0415897277843516
1.5,0.0060275698232938,-0.00988319412475319,-0.016070469044321,0.0407519098012571
1.51,0.00605365803209672,-0.0102215627114916,-0.0154880602009618,0.0398919489990611
1.52,0.00606848543366215,-0.0105313758528622,-0.0149065923533523,0.0390114356043281
1.53,0.00607246013018677,-0.0108132361356841,-0.0143266845815635,0.038111946400612
1.54,0.00606598956449807,-0.0110677605482719,-0.0137489393160115,0.0371950428713868
1.55,0.00604948008625614,-0.0112955793755604,-0.0131739419253482,0.0362622694192371
1.56,0.00602333652982207,-0.0114973351049511,-0.0126022603409897,0.0353151516615951
1.57,0.00598796180408174,-0.0116736813441273,-0.0120344447177369,0.0343551948031915
1.58,0.00594375649448818,-0.0118252817520322,-0.011471027129906,0.0333838820852653
1.59,0.00589111847756027,-0.0119528089841499,-0.0109125213023495,0.0324026733114684
1.6,0.00583044254805062,-0.0120569436531778,-0.0103594223757194,0.0314130034502871
1.61,0.00576212005897124,-0.0121383733061211,-0.00981220670529179,0.0304162813136967
1.62,0.00568653857464146,-0.0121977914187896,-0.0092713316926449,0.0294138883116662
1.63,0.00560408153689889,-0.0122358964086233,-0.00873723564945437,0.0284071772820258
1.64,0.0055151279445917,-0.0122533906667186,-0.00821033769264787,0.0273974713951212
1.65,0.00542005204644727,-0.0122509796098755,-0.00769103767013632,0.0263860631325842
1.66,0.00531922304739107,-0.0122293707534334,-0.00717971611631945,0.0253742133394636
1.67,0.00521300482836744,-0.0121892728056106,-0.00667673423654442,0.0243631503488775
1.68,0.00510175567969373,-0.0121313947840121,-0.00618243391967907,0.0233540691782687
1.69,0.00498582804795856,-0.0120564451549191,-0.00569713777794641,0.0223481307962714
1.7,0.00486556829645538,-0.0119651309959233,-0.00522114921315335,0.0213464614591227
1.71,0.00474131647912352,-0.0118581571824195,-0.00475475250843469,0.0203501521154888
1.72,0.00461340612795015,-0.0117362255984219,-0.00429821294462381,0.0193602578785103
1.73,0.00448216405376908,-0.0116000343721205,-0.0038517769403523,0.0183777975638098
1.74,0.00434791016037468,-0.0114502771365486,-0.00341567221497439,0.0174037532921519
1.75,0.00421095727185279,-0.0112876423156837,-0.00299010797340638,0.0164390701553907
1.76,0.00407161097301454,-0.0111128124362619,-0.00257527511196739,0.0154846559442914
1.77,0.0039301694628035,-0.0109264634655384,-0.00217134644430531,0.014541380936768
1.78,0.00378692342053187,-0.0107292641751854,-0.00177847694649081,0.0136100777450376
1.79,0.00364215588478747,-0.010521875531476,-0.00139680402036248,0.012691541220151
1.8,0.00349614214483985,-0.0103049501118609,-0.00102644777420789,0.0117865284123279
1.81,0.00334914964436082,-0.0100791315480052,-0.000667511319868132,0.0108957585854905
1.82,0.00320143789726286,-0.00984505399531191,-0.000320081085357655,0.0100199132843622
1.83,0.0030532584154472,-0.00960334162892411,1.57728579036651e-05,0.00915963645247344
1.84,0.00290485464824244,-0.00935460816615634,0.000339996454142721,0.00831553459939386
1.85,0.00275646193330454,-0.00909945641527437,0.000652551309458697,0.00748817701549086
1.86,0.00260830745873915,-0.00883847785050526,0.000953414326102425,0.00667809603250042
1.87,0.00246061023619846,-0.00857225221312743,0.00124257732568049,0.00588578732818129
1.88,0.00231358108469627,-0.00830134713845826,0.00152004666214458,0.00511171027331449
1.89,0.00216742262487729,-0.00802631780852556,0.001785842825415,0.00435628831930265
1.9,0.00202232928346943,-0.00774770663017991,0.00204000003647536,0.00361990942461897
1.91,0.00187848730764138,-0.00746604293837624,0.00228256583476177,0.00290292651835385
1.92,0.00173607478898174,-0.00718184272432574,0.00251360065865675,0.00220565799910746
