Czas,Pozycja_X,Pozycja_Y,Kat_Alpha,Kat_Beta,Silownik_1,Silownik_2,Silownik_3
1.27,0.0018945175564188,-0.00157876463034899,0.0378823892300371,-0.0315686576916976,-0.00947059730750928,-0.005106834775024,0.0145774320825333
1.28,0.00119951791766002,-0.000999598264716669,0.0376780121821204,-0.0313983434851004,-0.00941950304553012,-0.0050792831913797,0.0144987862369098
1.29,0.000531063010211714,-0.000442552508509747,0.0374399577924621,-0.0311999648270518,-0.00935998944811553,-0.00504719164540903,0.0144071810935246
1.3,-0.000110990375843263,9.24919798694011e-05,0.0371692445781467,-0.030974370481789,-0.00929231114453669,-0.00501069744097728,0.014303008585514
1.31,-0.000726809048616523,0.000605674207180451,0.036866911873844,-0.0307224265615367,-0.00921672796846102,-0.00496994068831882,0.0141866686567798
1.32,-0.00131658270072467,0.0010971522506039,0.0365340177223432,-0.0304450147686194,-0.00913350443058582,-0.00492506401966513,0.014058568450251
1.33,-0.00188052318101264,0.00156710265084388,0.0361716367992264,-0.030143030666022,-0.00904290919980661,-0.00487621230947493,0.0139191215092815
1.34,-0.00241886375316802,0.0020157197943067,0.0357808583737921,-0.0298173819781601,-0.00894521459344803,-0.00482353239955112,0.0137687469929991
1.35,-0.00293185834268053,0.00244321528556712,0.0353627843082126,-0.0294689869235106,-0.00884069607705317,-0.00476717282931198,0.0136078689063651
1.36,-0.00341978077357539,0.00284981731131284,0.0349185270967829,-0.0290987725806524,-0.00872963177419572,-0.00470728357146691,0.0134369153456626
1.37,-0.00388292399632286,0.00323576999693573,0.0344492079469927,-0.0287076732891606,-0.00861230198674819,-0.00464401577333045,0.0132563177600786
1.38,-0.00432159930829751,0.0036013327569146,0.0339559549040357,-0.0282966290866964,-0.00848898872600893,-0.00457752150399165,0.0130665102300006
1.39,-0.00473613556813216,0.00394677964011014,0.0334399010202426,-0.0278665841835355,-0.00835997525506066,-0.00450795350753985,0.0128679287626005
1.4,-0.00512687840528048,0.00427239867106708,0.0329021825708139,-0.0274184854756783,-0.00822554564270349,-0.00443546496253179,0.0126610106052353
1.41,-0.00549418942607105,0.00457849118839255,0.0323439373171064,-0.0269532810975887,-0.00808598432927661,-0.0043602092478694,0.012446193577146
1.42,-0.00583844541750306,0.00486537118125256,0.031766302818617,-0.0264719190155142,-0.00794157570465425,-0.00428233971524233,0.0122239154198966
1.43,-0.00616003755000074,0.00513336462500063,0.0311704147946945,-0.0259753456622455,-0.00779260369867364,-0.00420200946827431,0.0119946131669479
1.44,-0.00645937058030908,0.00538280881692424,0.0305574055369025,-0.0254645046140854,-0.00763935138422563,-0.00411937114849743,0.0117587225327231
1.45,-0.00673686205567914,0.00561405171306596,0.0299284023728466,-0.0249403353107055,-0.00748210059321165,-0.00403457672826446,0.0115166773214761
1.46,-0.00699294152045513,0.00582745126704595,0.0292845261821798,-0.0244037718184832,-0.00732113154554495,-0.00394777731069499,0.0112689088562399
1.47,-0.00722804972613986,0.00602337477178322,0.0286268899653941,-0.0238557416378285,-0.00715672249134854,-0.00385912293673768,0.0110158454280862
1.48,-0.00744263784597836,0.00620219820498197,0.02795659746591,-0.023297164554925,-0.0069891493664775,-0.00376876239941736,0.0107579117658949
1.49,-0.00763716669506254,0.00636430557921879,0.0272747418458775,-0.0227289515382312,-0.00681868546146937,-0.00367684306532303,0.0104955285267924
1.5,-0.00781210595692239,0.00651008829743533,0.026582404416011,-0.0221520036800092,-0.00664560110400275,-0.00358351070337978,0.0102291118073825
1.51,-0.00796793341753167,0.00663994451460973,0.0258806534196866,-0.0215672111830722,-0.00647016335492165,-0.00348890932093594,0.00995907267585759
1.52,-0.00810513420761801,0.00675427850634835,0.0251705428714442,-0.0209754523928702,-0.00629263571786106,-0.00339318100718427,0.00968581672504533
1.53,-0.00822420005412956,0.00685350004510797,0.0244531114499512,-0.0203775928749593,-0.0061132778624878,-0.00329646578392506,0.00940974364641286
1.54,-0.0083256285416719,0.00693802378472659,0.0237293814454009,-0.0197744845378341,-0.00593234536135024,-0.00319890146366738,0.00913124682501761
1.55,-0.0084099223846911,0.00700826865390926,0.0230003577612407,-0.0191669648010339,-0.00575008944031018,-0.00310062351505442,0.00885071295536459
1.56,-0.00847758871114034,0.00706465725928363,0.0222670269700456,-0.0185558558083714,-0.00556675674251141,-0.00300176493558812,0.00856852167809953
1.57,-0.00852913835832974,0.00710761529860813,0.0215303564232822,-0.0179419636860685,-0.00538258910582056,-0.00290245613161849,0.00828504523743905
1.58,-0.00856508518162085,0.00713757098468405,0.0207912934146326,-0.0173260778455272,-0.00519782335365816,-0.00280282480555331,0.00800064815921147
1.59,-0.00858594537658964,0.00715495448049137,0.0200507643964831,-0.0167089703304026,-0.00501269109912078,-0.00270299585023489,0.00771568694935567
1.6,-0.00859223681524432,0.00716019734603694,0.0193096742491145,-0.0160913952075954,-0.00482741856227863,-0.0026030912504213,0.00743050981269993
1.61,-0.0085844783968469,0.00715373199737242,0.0185689056020694,-0.0154740880017245,-0.00464222640051734,-0.00250322999130151,0.00714545639181884
1.62,-0.00856318941385063,0.00713599117820886,0.0178293182071105,-0.0148577651725921,-0.00445732955177762,-0.00240352797396542,0.00686085752574305
1.63,-0.00852888893342891,0.00710740744452409,0.0170917483621292,-0.0142431236351076,-0.00427293709053229,-0.00230409793774234,0.00657703502827462
1.64,-0.00848209519503492,0.0070684126625291,0.0163570083853059,-0.0136308403210882,-0.00408925209632646,-0.00220504938931376,0.00629430148564022
1.65,-0.00842332502439576,0.0070194375203298,0.0156258861387759,-0.0130215717823132,-0.00390647153469397,-0.00210648853849993,0.0060129600731939
1.66,-0.00835309326430946,0.00696091105359122,0.0148991446010025,-0.0124159538341688,-0.00372478615025063,-0.00200851824061247,0.0057333043908631
